wellID, constituentID, mdl, pql, observed, sampleDate
1,0,NULL,NULL,<0.003,2016-03-02
1,0,NULL,NULL,<0.003,2016-04-19
1,0,NULL,NULL,<0.003,2016-06-08
1,0,NULL,NULL,<0.003,2016-08-31
1,0,NULL,NULL,<0.003,2016-10-19
1,0,NULL,NULL,0.000687(J),2017-01-31
1,0,NULL,NULL,n/a,2017-03-21
1,0,NULL,NULL,<0.003,2017-05-02
1,0,NULL,NULL,<0.003,2017-06-06
1,0,NULL,NULL,n/a,2017-09-13
1,0,NULL,NULL,<0.003*,2018-01-24
1,0,NULL,NULL,<0.003*,2018-05-01
1,0,NULL,NULL,n/a,2018-08-28
1,0,NULL,NULL,<0.003*,2018-11-28
1,0,NULL,NULL,<0.003*,2019-05-29
1,0,NULL,NULL,<0.003*,2019-10-01
1,0,NULL,NULL,<0.003*,2020-03-30
1,0,NULL,NULL,<0.003*,2020-09-01
1,0,NULL,NULL,<0.001015*,2021-05-18
1,0,NULL,NULL,<0.00102*,2021-11-01
1,0,NULL,NULL,<0.00102*,2022-05-24
2,0,NULL,NULL,<0.003,2016-03-01
2,0,NULL,NULL,<0.003,2016-04-20
2,0,NULL,NULL,<0.003,2016-06-08
2,0,NULL,NULL,<0.003,2016-08-31
2,0,NULL,NULL,<0.003,2016-10-19
2,0,NULL,NULL,n/a,2016-10-19
2,0,NULL,NULL,0.000743(J),2017-02-01
2,0,NULL,NULL,n/a,2017-03-22
2,0,NULL,NULL,<0.003,2017-05-03
2,0,NULL,NULL,<0.003,2017-06-07
2,0,NULL,NULL,n/a,2017-09-14
2,0,NULL,NULL,<0.003*,2018-01-23
2,0,NULL,NULL,<0.003*,2018-05-02
2,0,NULL,NULL,n/a,2018-08-28
2,0,NULL,NULL,<0.003*,2018-11-28
2,0,NULL,NULL,<0.003*,2019-05-30
2,0,NULL,NULL,n/a,2019-07-31
2,0,NULL,NULL,<0.003*,2019-09-30
2,0,NULL,NULL,<0.003*,2020-03-31
2,0,NULL,NULL,<0.003*,2020-09-01
2,0,NULL,NULL,<0.001015*,2021-05-11
2,0,NULL,NULL,<0.00102*,2021-10-27
2,0,NULL,NULL,<0.00102*,2022-05-24
2,0,NULL,NULL,n/a,2022-05-24
3,0,NULL,NULL,0.000965(J),2019-01-08
3,0,NULL,NULL,<0.003*,2019-10-01
3,0,NULL,NULL,<0.003*,2020-03-31
3,0,NULL,NULL,<0.003*,2020-09-01
3,0,NULL,NULL,<0.001015*,2021-05-18
3,0,NULL,NULL,<0.00102*,2021-10-27
